phoneNo,email
123-456-7890,john.doe@example.com
123-456-7890,johndoe@gmail.com
987-654-3210,jane.smith@example.com
987-654-3210,jsmith@hotmail.com
555-555-5555,michael.johnson@example.com
555-555-5555,mjohnson@yahoo.com
444-333-2222,emily.davis@example.com
444-333-2222,edavis@gmail.com
888-999-7777,william.brown@example.com
888-999-7777,wbrown@hotmail.com
777-888-9999,sarah.anderson@example.com
777-888-9999,sanderson@yahoo.com
111-222-3333,david.wilson@example.com
111-222-3333,dwilson@gmail.com
222-333-4444,olivia.taylor@example.com
222-333-4444,otaylor@hotmail.com
666-555-4444,james.lee@example.com
666-555-4444,jlee@yahoo.com
333-444-5555,emma.martinez@example.com
333-444-5555,emartinez@gmail.com
555-444-3333,christopher.harris@example.com
555-444-3333,charris@hotmail.com
777-666-5555,sophia.clark@example.com
777-666-5555,sclark@yahoo.com
222-111-3333,daniel.turner@example.com
222-111-3333,dturner@gmail.com
