PhoneNo,Name_FirstName,Name_LastName,DOB,Gender,Password,UserType
123-456-7890,John,Doe,5/15/90,Male,secure123,Customer
987-654-3210,Jane,Smith,8/25/85,Female,pass123,Customer
555-555-5555,Michael,Johnson,3/10/78,Male,mypass12,Customer
444-333-2222,Emily,Davis,11/2/95,Female,1234abcd,Customer
888-999-7777,William,Brown,7/18/82,Male,secretword,Customer
777-888-9999,Sarah,Anderson,1/30/93,Female,p@ssw0rd,Customer
111-222-3333,David,Wilson,9/12/89,Male,9876pass,Customer
222-333-4444,Olivia,Taylor,4/22/98,Female,secure456,Customer
666-555-4444,James,Lee,12/5/75,Male,letmein,Customer
333-444-5555,Emma,Martinez,6/17/91,Female,passw0rd!,Customer
555-444-3333,Christopher,Harris,2/28/80,Male,12345qwerty,Customer
777-666-5555,Sophia,Clark,8/7/96,Female,mysecurepass,Customer
222-111-3333,Daniel,Turner,10/14/87,Male,p@ss1234,Customer
888-777-6666,Ava,White,3/3/94,Female,1qaz2wsx,Customer
111-555-6666,Joseph,Rodriguez,5/20/84,Male,1234abcd,Customer
